Kota Asal,Kota Tujuan,Area Tujuan,Harga Publish,SLA
SURABAYA,JAKARTA,DKI JAKARTA,5000,2-4 HARI
SURABAYA,CILEGON,BANTEN,5300,2-4 HARI
SURABAYA,BALARAJA,BANTEN,5000,2-4 HARI
SURABAYA,PANDEGLANG,BANTEN,5300,2-4 HARI
SURABAYA,LEBAK,BANTEN,5300,2-4 HARI
SURABAYA,CIPUTAT,BANTEN,5000,2-4 HARI
SURABAYA,SERANG,BANTEN,5300,2-4 HARI
SURABAYA,TANGERANG,BANTEN,5000,2-4 HARI
SURABAYA,KAB.SERANG,BANTEN,5300,2-4 HARI
SURABAYA,KAB BANDUNG,JAWA BARAT,4800,1-3 HARI
SURABAYA,DEPOK,JAWA BARAT,5000,1-3 HARI
SURABAYA,CIREBON,JAWA BARAT,4800,1-3 HARI
SURABAYA,CIMAHI,JAWA BARAT,4800,1-3 HARI
SURABAYA,GARUT,JAWA BARAT,4800,1-3 HARI
SURABAYA,BANDUNG,JAWA BARAT,4300,1-3 HARI
SURABAYA,INDRAMAYU,JAWA BARAT,4800,1-3 HARI
SURABAYA,MAJALENGKA,JAWA BARAT,4800,1-3 HARI
SURABAYA,BOGOR,JAWA BARAT,5000,1-3 HARI
SURABAYA,BANDUNG BARAT,JAWA BARAT,4800,1-3 HARI
SURABAYA,BEKASI,JAWA BARAT,5000,1-3 HARI
SURABAYA,SUBANG,JAWA BARAT,4800,1-3 HARI
SURABAYA,KUNINGAN,JAWA BARAT,4800,1-3 HARI
SURABAYA,PANGANDARAN,JAWA BARAT,4800,1-3 HARI
SURABAYA,KAB SUKABUMI,JAWA BARAT,4800,1-3 HARI
SURABAYA,PURWAKARTA,JAWA BARAT,4800,1-3 HARI
SURABAYA,CIANJUR,JAWA BARAT,4800,1-3 HARI
SURABAYA,KARAWANG,JAWA BARAT,4800,1-3 HARI
SURABAYA,CIAMIS,JAWA BARAT,4800,1-3 HARI
SURABAYA,BANJAR,JAWA BARAT,4800,1-3 HARI
SURABAYA,KAB TASIKMALAYA,JAWA BARAT,4800,1-3 HARI
SURABAYA,CIKARANG,JAWA BARAT,5000,1-3 HARI
SURABAYA,CIBINONG,JAWA BARAT,5000,1-3 HARI
SURABAYA,TASIKMALAYA,JAWA BARAT,4800,1-3 HARI
SURABAYA,SUMEDANG,JAWA BARAT,4800,1-3 HARI
SURABAYA,KAB CIREBON,JAWA BARAT,4800,1-3 HARI
SURABAYA,SUKABUMI,JAWA BARAT,4800,1-3 HARI
SURABAYA,TAPANULI UTARA,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,STABAT,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,DAIRI,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,GUNUNG SITOLI,SUMATERA UTARA,16000,7-9 HARI
SURABAYA,ASAHAN,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,MEDAN,SUMATERA UTARA,9500,7-9 HARI
SURABAYA,LABUHAN BATU SELATAN,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,LUBUK PAKAM,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,BINJAI,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,LANGKAT,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,KARO,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,SAMOSIR,SUMATERA UTARA,10500,7-9 HARI
SURABAYA,PADANG LAWAS,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,TAPANULI TENGAH,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,LABUAN BATU,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,MANDAILING NATAL,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,SERDANG BEDAGAI,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,NIAS UTARA,SUMATERA UTARA,16000,7-9 HARI
SURABAYA,BATU BARA,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,NIAS BARAT,SUMATERA UTARA,16000,7-9 HARI
SURABAYA,SIBOLGA,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,PEMATANG SIANTAR,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,PADANG LAWAS UTARA,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,HUMBANG HASUNDUTAN,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,DELI SERDANG,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,SIMALUNGUN,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,TANJUNG BALAI,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,TOBA SAMOSIR,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,TEBING TINGGI,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,TAPANULI SELATAN,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,SIPIROK,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,NIAS SELATAN,SUMATERA UTARA,16000,7-9 HARI
SURABAYA,PAKPAK BHARAT,SUMATERA UTARA,11300,7-9 HARI
SURABAYA,LABUHAN BATU UTARA,SUMATERA UTARA,11500,7-9 HARI
SURABAYA,PURWOKERTO,JAWA TENGAH,3800,1-3 HARI
SURABAYA,DEMAK,JAWA TENGAH,3800,1-3 HARI
SURABAYA,AMBARAWA,JAWA TENGAH,3800,1-3 HARI
SURABAYA,GROBOGAN,JAWA TENGAH,3500,1-3 HARI
SURABAYA,MAGELANG,JAWA TENGAH,3800,1-3 HARI
SURABAYA,BLORA,JAWA TENGAH,3500,1-3 HARI
SURABAYA,BREBES,JAWA TENGAH,3800,1-3 HARI
SURABAYA,BOYOLALI,JAWA TENGAH,3800,1-3 HARI
SURABAYA,MUNGKID,JAWA TENGAH,3800,1-3 HARI
SURABAYA,KARANG ANYAR,JAWA TENGAH,3500,1-3 HARI
SURABAYA,KAJEN PEKALONGAN,JAWA TENGAH,3800,1-3 HARI
SURABAYA,JEPARA,JAWA TENGAH,3500,1-3 HARI
SURABAYA,KLATEN,JAWA TENGAH,3800,1-3 HARI
SURABAYA,KENDAL,JAWA TENGAH,3800,1-3 HARI
SURABAYA,KEBUMEN,JAWA TENGAH,3800,1-3 HARI
SURABAYA,KUDUS,JAWA TENGAH,3500,1-3 HARI
SURABAYA,PEMALANG,JAWA TENGAH,3800,1-3 HARI
SURABAYA,PATI,JAWA TENGAH,3500,1-3 HARI
SURABAYA,PURWOREJO,JAWA TENGAH,3800,1-3 HARI
SURABAYA,PURBALINGGA,JAWA TENGAH,3800,1-3 HARI
SURABAYA,PEKALONGAN,JAWA TENGAH,3800,1-3 HARI
SURABAYA,CILACAP,JAWA TENGAH,3800,1-3 HARI
SURABAYA,BANJARNEGARA,JAWA TENGAH,3800,1-3 HARI
SURABAYA,BLORA,JAWA TENGAH,3500,1-3 HARI
SURABAYA,BATANG,JAWA TENGAH,3800,1-3 HARI
SURABAYA,TEGAL,JAWA TENGAH,3800,1-3 HARI
SURABAYA,SRAGEN,JAWA TENGAH,3500,1-3 HARI
SURABAYA,SOLO,JAWA TENGAH,3800,1-3 HARI
SURABAYA,SLAWI,JAWA TENGAH,3800,1-3 HARI
SURABAYA,REMBANG,JAWA TENGAH,3500,1-3 HARI
SURABAYA,SALATIGA,JAWA TENGAH,3800,1-3 HARI
SURABAYA,UNGARAN,JAWA TENGAH,3800,1-3 HARI
SURABAYA,TEMANGGUNG,JAWA TENGAH,3800,1-3 HARI
SURABAYA,SEMARANG,JAWA TENGAH,3500,1-3 HARI
SURABAYA,SUKOHARJO,JAWA TENGAH,3800,1-3 HARI
SURABAYA,WONOSOBO,JAWA TENGAH,3800,1-3 HARI
SURABAYA,WONOGIRI,JAWA TENGAH,3800,1-3 HARI
SURABAYA,DHAMASRAYA,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,BUKIT TINGGI,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,PASAMAN BARAT,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,PADANG PARIAMAN,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,PESISIR SELATAN,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,SOLOK SELATAN,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,PASAMAN,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,LIMAPULUH KOTA,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,TANAH DATAR,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,PAYAKUMBUH,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,LUBUK BASUNG,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,SIJUNJUNG,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,SOLOK,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,PADANG,SUMATERA BARAT,8500,6-8 HARI
SURABAYA,PADANG PANJANG,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,AROSUKA,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,SAWAH LUNTO,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,PARIAMAN,SUMATERA BARAT,10300,6-8 HARI
SURABAYA,KUATAN SINGINGI,RIAU,10300,6-8 HARI
SURABAYA,DUMAI,RIAU,10300,6-8 HARI
SURABAYA,INDRAGIRI HULU,RIAU,10300,6-8 HARI
SURABAYA,INDRAGIRI HILIR,RIAU,10300,6-8 HARI
SURABAYA,BENGKALIS,RIAU,10300,6-8 HARI
SURABAYA,PELALAWAN,RIAU,10300,6-8 HARI
SURABAYA,PEKANBARU,RIAU,8500,6-8 HARI
SURABAYA,ROKAN HULU,RIAU,10300,6-8 HARI
SURABAYA,KAMPAR,RIAU,10300,6-8 HARI
SURABAYA,SIAK,RIAU,10300,6-8 HARI
SURABAYA,ROKAN HILIR,RIAU,10300,6-8 HARI
SURABAYA,KEPULAUAN MERANTI,RIAU,13000,6-8 HARI
SURABAYA,SEKAYU,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,EMPAT LAWANG,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,LAHAT,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,MUARA ENIM,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,MUARA DUA,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,KAYU AGUNG,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,PAGAR ALAM,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,BANYUASIN,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,MUSI RAWAS UTARA,SUMATERA SELATAN,9800,4-6 HARI
SURABAYA,MUSI RAWAS,SUMATERA SELATAN,9800,4-6 HARI
SURABAYA,PRABUMULIH,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,BATURAJA,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,OGAN ILIR,SUMATERA SELATAN,9500,4-6 HARI
SURABAYA,PALEMBANG,SUMATERA SELATAN,7500,4-6 HARI
SURABAYA,ENDE,NUSA TENGGARA TIMUR,18000,17-19 HARI
SURABAYA,BAJAWA,NUSA TENGGARA TIMUR,18000,17-19 HARI
SURABAYA,MBAY,NUSA TENGGARA TIMUR,18000,17-19 HARI
SURABAYA,MAUMERE,NUSA TENGGARA TIMUR,17000,17-19 HARI
SURABAYA,LABUAN BAJO,NUSA TENGGARA TIMUR,18000,17-19 HARI
SURABAYA,KUPANG,NUSA TENGGARA TIMUR,8500,17-19 HARI
SURABAYA,MALAKA,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,LARANTUKA,NUSA TENGGARA TIMUR,18000,17-19 HARI
SURABAYA,BELU,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,BORONG,NUSA TENGGARA TIMUR,18000,17-19 HARI
SURABAYA,KALABAHI,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,OELAMASI,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,RUTENG,NUSA TENGGARA TIMUR,18000,17-19 HARI
SURABAYA,LEWOLEBA,NUSA TENGGARA TIMUR,18000,17-19 HARI
SURABAYA,TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,BAA,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,SOE,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,SABU RAIJUA,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,TAMBOLAKA,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,WAIKABUBAK,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,WAIBAKUL,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,WAINGAPU,NUSA TENGGARA TIMUR,15000,17-19 HARI
SURABAYA,SINJAI,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,TAKALAR,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,SOPPENG,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,BONE,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,ENREKANG,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,MAKASSAR,SULAWESI SELATAN,8000,11-13 HARI
SURABAYA,LUWU,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,MALILI,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,PINRANG,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,WAJO,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,SIDENRENG RAPANG,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,PANGKAJENE,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,TORAJA UTARA,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,GOWA,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,MASAMBA,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,BULUKUMBA,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,BANTAENG,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,TANA TORAJA,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,MAROS,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,SELAYAR,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,BARRU,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,JENEPONTO,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,PALOPO,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,PARE PARE,SULAWESI SELATAN,10500,11-13 HARI
SURABAYA,SINGKIL,ACEH,15000,8-10 HARI
SURABAYA,TAKENGON,ACEH,15000,8-10 HARI
SURABAYA,ACEH SELATAN,ACEH,15000,8-10 HARI
SURABAYA,ACEH BARAT DAYA,ACEH,15000,8-10 HARI
SURABAYA,GAYO LUES,ACEH,15000,8-10 HARI
SURABAYA,BANDA ACEH,ACEH,13000,8-10 HARI
SURABAYA,MEUREUDU,ACEH,15000,8-10 HARI
SURABAYA,IDI RAYEUK,ACEH,15000,8-10 HARI
SURABAYA,LANGSA,ACEH,15000,8-10 HARI
SURABAYA,KUTACANE,ACEH,15000,8-10 HARI
SURABAYA,LHOKSUKON,ACEH,15000,8-10 HARI
SURABAYA,LHOKSEUMAWE,ACEH,15000,8-10 HARI
SURABAYA,NAGAN RAYA,ACEH,15000,8-10 HARI
SURABAYA,JANTHO,ACEH,15000,8-10 HARI
SURABAYA,KUALA SIMPANG,ACEH,15000,8-10 HARI
SURABAYA,SIGLI,ACEH,15000,8-10 HARI
SURABAYA,MEULABOH,ACEH,15000,8-10 HARI
SURABAYA,BIREUEN,ACEH,15000,8-10 HARI
SURABAYA,CALANG,ACEH,15000,8-10 HARI
SURABAYA,SINABANG,ACEH,18000,8-10 HARI
SURABAYA,SUBULUSSALAM,ACEH,15000,8-10 HARI
SURABAYA,SABANG,ACEH,18000,8-10 HARI
SURABAYA,SIMPANG TIGA REDELONG,ACEH,15000,8-10 HARI
SURABAYA,SUWAWA,GORONTALO,18000,14-16 HARI
SURABAYA,GORONTALO,GORONTALO,15500,14-16 HARI
SURABAYA,GORONTALO UTARA,GORONTALO,18000,14-16 HARI
SURABAYA,MARISA,GORONTALO,18000,14-16 HARI
SURABAYA,KAB.GORONTALO,GORONTALO,18000,14-16 HARI
SURABAYA,TILAMUTA,GORONTALO,18000,14-16 HARI
SURABAYA,SAREWIGADI,SULAWESI TENGGARA,14000,15-17 HARI
SURABAYA,KONAWE UTARA,SULAWESI TENGGARA,14000,15-17 HARI
SURABAYA,KONAWE,SULAWESI TENGGARA,14000,15-17 HARI
SURABAYA,TIRAWUTA,SULAWESI TENGGARA,14000,15-17 HARI
SURABAYA,BUTON UTARA,SULAWESI TENGGARA,14000,15-17 HARI
SURABAYA,LANGARA,SULAWESI TENGGARA,14000,15-17 HARI
SURABAYA,LABUNGKARI,SULAWESI TENGGARA,14000,15-17 HARI
